pattern,condition,stream_id,stream_seed,beta,u_diff_cp_minus_base,mean_l1_diff_cp_minus_base,terminal_l1_diff_cp_minus_base,tau_diff_cp_minus_base,osc_rate_diff_cp_minus_base
P2-n5,D-mismatch,1,20261229,0.5,-0.14481791910279718,0.2896358382055946,0.5142236060647214,3.0,0.16363636363636358
P2-n5,D-dependent,2,20261230,0.1,0.012917067692341466,-0.025834135384682988,-0.08459291773283095,-10.0,0.0
P2-n5,D-dependent,2,20261230,0.3,0.010642905226908694,-0.02128581045381739,-0.279020600109891,-10.0,0.05454545454545451
P2-n5,D-dependent,2,20261230,0.5,-0.011598044762412107,0.023196089524824215,-0.503772112237789,-2.0,0.05454545454545451
P2-n5,D-independent,2,20261230,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,2,20261230,0.3,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,2,20261230,0.5,0.0,0.0,0.0,0.0,0.0
P2-n5,D-mismatch,2,20261230,0.1,-0.016572755260601757,0.033145510521203514,0.06664441307323887,0.0,0.018181818181818132
P2-n5,D-mismatch,2,20261230,0.3,-0.04351485610878003,0.0870297122175599,0.13154221902370267,0.0,-0.12727272727272726
P2-n5,D-mismatch,2,20261230,0.5,-0.06265553089421305,0.12531106178842616,0.1290838351780662,0.0,-0.018181818181818188
P2-n5,D-dependent,3,20261231,0.1,0.012881949744955268,-0.025763899489910536,-0.0480838136735436,0.0,0.03636363636363632
P2-n5,D-dependent,3,20261231,0.3,0.026634912245356634,-0.05326982449071327,-0.09380432728026303,0.0,0.018181818181818188
P2-n5,D-dependent,3,20261231,0.5,0.018429924540660503,-0.03685984908132112,-0.14456142385298806,0.0,0.018181818181818188
P2-n5,D-independent,3,20261231,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,3,20261231,0.3,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,3,20261231,0.5,0.0,0.0,0.0,0.0,0.0
P2-n5,D-mismatch,3,20261231,0.1,-0.01541420578064101,0.030828411561281965,0.056951168276901915,6.0,0.0
