pattern,condition,stream_id,stream_seed,system,beta,turn,candidate,weight,distance_to_ref_final,operator,target
P1-n4,D-independent,0,20260228,uncoupled,0.0,11,1,0.10000099999999998,0.20000000000000004,delta,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,11,2,0.0758544852054931,0.20000000000000004,delta,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,11,3,0.32987880775412065,0.20000000000000004,delta,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,12,0,0.4393472341264845,0.0,sigma,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,12,1,0.20000099999999998,0.0,sigma,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,12,2,0.06742619970678776,0.0,sigma,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,12,3,0.2932255661667277,0.0,sigma,1
P1-n4,D-independent,0,20260228,coupled,0.1,1,0,0.2833333333333333,0.43181426725309113,delta,1
P1-n4,D-independent,0,20260228,coupled,0.1,1,1,0.15,0.43181426725309113,delta,1
P1-n4,D-independent,0,20260228,coupled,0.1,1,2,0.2833333333333333,0.43181426725309113,delta,1
P1-n4,D-independent,0,20260228,coupled,0.1,1,3,0.2833333333333333,0.43181426725309113,delta,1
P1-n4,D-independent,0,20260228,coupled,0.1,2,0,0.24379844961240313,0.5329600341444419,sigma,3
P1-n4,D-independent,0,20260228,coupled,0.1,2,1,0.12906976744186047,0.5329600341444419,sigma,3
P1-n4,D-independent,0,20260228,coupled,0.1,2,2,0.24379844961240313,0.5329600341444419,sigma,3
P1-n4,D-independent,0,20260228,coupled,0.1,2,3,0.3833333333333333,0.5329600341444419,sigma,3
P1-n4,D-independent,0,20260228,coupled,0.1,3,0,0.2833333333333333,0.43181426725309113,delta,3
P1-n4,D-independent,0,20260228,coupled,0.1,3,1,0.15,0.43181426725309113,delta,3
P1-n4,D-independent,0,20260228,coupled,0.1,3,2,0.2833333333333333,0.43181426725309113,delta,3
P1-n4,D-independent,0,20260228,coupled,0.1,3,3,0.2833333333333333,0.43181426725309113,delta,3
P1-n4,D-independent,0,20260228,coupled,0.1,4,0,0.32286821705426355,0.29109956902816286,delta,2
P1-n4,D-independent,0,20260228,coupled,0.1,4,1,0.17093023255813952,0.29109956902816286,delta,2
P1-n4,D-independent,0,20260228,coupled,0.1,4,2,0.18333333333333332,0.29109956902816286,delta,2
P1-n4,D-independent,0,20260228,coupled,0.1,4,3,0.32286821705426355,0.29109956902816286,delta,2
P1-n4,D-independent,0,20260228,coupled,0.1,5,0,0.36240310077519383,0.1701693364700233,delta,2
P1-n4,D-independent,0,20260228,coupled,0.1,5,1,0.19186046511627908,0.1701693364700233,delta,2
