pattern,condition,system,beta,turn,candidate,weight,distance_to_w_star,operator,target
P1-n4,D-dependent,coupled,0.3,8,1,0.43531367833420637,0.3906273566684127,delta,3
P1-n4,D-dependent,coupled,0.3,8,2,0.07948975132585337,0.3906273566684127,delta,3
P1-n4,D-dependent,coupled,0.3,8,3,1e-06,0.3906273566684127,delta,3
P1-n4,D-dependent,coupled,0.3,9,0,0.5651955703399403,0.26631502311576066,sigma,0
P1-n4,D-dependent,coupled,0.3,9,1,0.37315751155788035,0.26631502311576066,sigma,0
P1-n4,D-dependent,coupled,0.3,9,2,0.056693919920152436,0.26631502311576066,sigma,0
P1-n4,D-dependent,coupled,0.3,9,3,0.0049529981820269475,0.26631502311576066,sigma,0
P1-n4,D-dependent,coupled,0.3,10,0,0.6082772504370084,0.359995876309014,delta,2
P1-n4,D-dependent,coupled,0.3,10,1,0.3917206877174985,0.359995876309014,delta,2
P1-n4,D-dependent,coupled,0.3,10,2,1e-06,0.359995876309014,delta,2
P1-n4,D-dependent,coupled,0.3,10,3,1.0618454930090392e-06,0.359995876309014,delta,2
P1-n4,D-dependent,coupled,0.3,11,0,0.6882772504370084,0.3509728514369999,sigma,0
P1-n4,D-dependent,coupled,0.3,11,1,0.30720917528149155,0.3509728514369999,sigma,0
P1-n4,D-dependent,coupled,0.3,11,2,7.520039609204168e-07,0.3509728514369999,sigma,0
P1-n4,D-dependent,coupled,0.3,11,3,0.004512822277539127,0.3509728514369999,sigma,0
P1-n4,D-dependent,coupled,0.3,12,0,0.5983114779344247,0.3310413064318327,sigma,1
P1-n4,D-dependent,coupled,0.3,12,1,0.38720917528149157,0.3310413064318327,sigma,1
P1-n4,D-dependent,coupled,0.3,12,2,0.014478485008074785,0.3310413064318327,sigma,1
P1-n4,D-dependent,coupled,0.3,12,3,8.617760088751596e-07,0.3310413064318327,sigma,1
P1-n4,D-dependent,coupled,0.3,13,0,0.5983114118552278,0.3310410138531892,delta,3
P1-n4,D-dependent,coupled,0.3,13,1,0.38720909507136675,0.3310410138531892,delta,3
P1-n4,D-dependent,coupled,0.3,13,2,0.014478493073405456,0.3310410138531892,delta,3
P1-n4,D-dependent,coupled,0.3,13,3,1e-06,0.3310410138531892,delta,3
P1-n4,D-dependent,coupled,0.3,14,0,0.6783114118552278,0.3449462491836917,sigma,0
P1-n4,D-dependent,coupled,0.3,14,1,0.314161712736618,0.3449462491836917,sigma,0
P1-n4,D-dependent,coupled,0.3,14,2,0.002860434822702953,0.3449462491836917,sigma,0
P1-n4,D-dependent,coupled,0.3,14,3,0.004666440585451214,0.3449462491836917,sigma,0
P1-n4,D-dependent,coupled,0.3,15,0,0.6809365956812582,0.3518392526104494,delta,2
P1-n4,D-dependent,coupled,0.3,15,1,0.3149830306239665,0.3518392526104494,delta,2
P1-n4,D-dependent,coupled,0.3,15,2,1e-06,0.3518392526104494,delta,2
P1-n4,D-dependent,coupled,0.3,15,3,0.004079373694775325,0.3518392526104494,delta,2
P1-n4,D-dependent,coupled,0.3,16,0,0.7609365956812582,0.36187319136251633,sigma,0
P1-n4,D-dependent,coupled,0.3,16,1,0.2320142483639523,0.36187319136251633,sigma,0
P1-n4,D-dependent,coupled,0.3,16,2,6.992951023673983e-07,0.36187319136251633,sigma,0
P1-n4,D-dependent,coupled,0.3,16,3,0.00704845665968717,0.36187319136251633,sigma,0
P1-n4,D-dependent,coupled,0.3,17,0,0.6732367853134916,0.3305020673548879,sigma,1
P1-n4,D-dependent,coupled,0.3,17,1,0.3120142483639523,0.3305020673548879,sigma,1
